"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
65-222,"Brown - Forman","El Jimador Reposado","","80","1.75L","$34.95","$43.70",
65-223,"Brown - Forman","El Jimador Reposado","","80",".75L","$22.95","$26.70",
65-224,"Brown - Forman","El Jimador Reposado","","80",".375L","$9.95","$11.83",
65-225,"Sazerac NA","El Toro Gold","","80",".75L","$8.75","$12.50",
65-227,"Brown - Forman","El Jimador Anejo","","80",".75L","$24.95","$28.70",
65-229,"Diageo NA","Don Julio 1942","","80",".75L","$149.95","$153.70",
65-232,"Diageo NA","Don Julio Reposado","","80",".75L","$54.95","$58.70",
65-235,"Diageo NA","Don Julio Anejo","","80",".75L","$59.95","$63.70",
65-240,"Luxco","El Mayor Reposado","","80",".75L","$29.95","$33.70",
65-243,"Pernod Ricard","Olmeca Altos Reposado","","80",".75L","$25.95","$29.70",
65-244,"Pernod Ricard","Olmeca Altos Reposado","","80",".375L","$9.95","$11.83",
65-245,"Pernod Ricard","Olmeca Altos Reposado","","80","1.75L","$41.95","$50.70",
65-246,"William Grant","Milagro Reposado","","80",".75L","$32.95","$36.70",
65-254,"Luxco","Juarez Gold","","80","1.75L","$27.95","$36.70",
65-255,"Luxco","Juarez Gold","","80",".75L","$10.95","$14.70",
65-262,"Pernod Ricard","Olmeca Altos Anejo","","80",".75L","$34.95","$38.70",
65-269,"Beam Suntory","Hornitos Black Barrel","","80",".75L","$29.95","$33.70",
65-277,"Beam Suntory","100 Anos Reposado","","80",".75L","$18.95","$22.70",
65-279,"Sazerac NA","Montezuma Teq Gold","","80","1.75L","$21.95","$30.70",
65-281,"Sazerac NA","Montezuma Teq Gold","","80",".75L","$10.95","$14.70",
65-288,"Sazerac NA","Monte Alban Mezcal Con Gusano","","80",".75L","$19.95","$23.70",
65-290,"Sazerac NA","Monte Alban Mezcal Con Gusano","","80",".375L","$12.95","$14.83",
65-295,"Patron Spirits","Patron Anejo Barrel Select (Half Barrel)","","80",".75L","$58.95","$62.70",
65-297,"Patron Spirits","Patron Anejo","","80",".75L","$58.95","$62.70",
65-298,"Patron Spirits","Patron Anejo","","80",".375L","$31.95","$33.83",
65-300,"Patron Spirits","ROCA Patron Reposado","","84",".75L","$79.95","$83.70",
65-302,"Patron Spirits","Patron Reposado Barrel Select (Half Barrel)","","80",".75L","$53.95","$57.70",
65-303,"Patron Spirits","Patron Reposado","","80",".75L","$53.95","$57.70",
65-304,"Patron Spirits","Patron Reposado","","80",".375L","$29.95","$31.83",
65-307,"Patron Spirits","ROCA Patron Anejo","","88",".75L","$89.95","$93.70",
